predicton,predictor,coefficient,st-error,lower_bound,upper_bound
economie_suisse,const,0.002332,0.001016,0.00034064,0.00432336
economie_suisse,economie_suisse,-0.00206,0.02167,-0.0445332,0.0404132
economie_suisse,economiesuisse,0.000262,0.031492,-0.06146232,0.06198632
economie_suisse,gewerbeverband,-0.001648,0.008318,-0.01795128,0.01465528
economie_suisse,GrueneCH,-0.001637,0.005514,-0.01244444,0.00917044
economie_suisse,grunliberale,-0.002006,0.005642,-0.01306432,0.00905232
economie_suisse,LesVertesSuisses,-0.001097,0.007923,-0.01662608,0.01443208
economie_suisse,Mitte_Centre,-0.001761,0.008226,-0.01788396,0.01436196
economie_suisse,PLR_Suisse,-0.001626,0.010429,-0.02206684,0.01881484
economie_suisse,pronaturach,-0.00167,0.017596,-0.03615816,0.03281816
economie_suisse,ProNaturaSuisse,-0.001126,0.016027,-0.03253892,0.03028692
economie_suisse,PSSuisse,-0.001523,0.015565,-0.0320304,0.0289844
economie_suisse,sbv,-0.00205,0.02229,-0.0457384,0.0416384
economie_suisse,spschweiz,-0.001648,0.008805,-0.0189058,0.0156098
economie_suisse,SVPch,-0.001272,0.011975,-0.024743,0.022199
economie_suisse,UDCch,-0.001366,0.025833,-0.05199868,0.04926668
economie_suisse,usp,-0.002332,0.043829,-0.08823684,0.08357284
economie_suisse,verkehrsclub,-0.001789,0.006697,-0.01491512,0.01133712
economie_suisse,vertliberaux,-0.002069,0.010519,-0.02268624,0.01854824
economiesuisse,const,0.000037,0.000649,-0.00123504,0.00130904
economiesuisse,economie_suisse,0.244623,0.013827,0.21752208,0.27172392
economiesuisse,economiesuisse,-0.007396,0.020094,-0.04678024,0.03198824
economiesuisse,gewerbeverband,-0.004965,0.005307,-0.01536672,0.00543672
economiesuisse,GrueneCH,-0.005827,0.003518,-0.01272228,0.00106828
economiesuisse,grunliberale,0.000614,0.0036,-0.006442,0.00767
economiesuisse,LesVertesSuisses,0.000438,0.005056,-0.00947176,0.01034776
economiesuisse,Mitte_Centre,0.020044,0.005249,0.00975596,0.03033204
economiesuisse,PLR_Suisse,-0.003165,0.006654,-0.01620684,0.00987684
economiesuisse,pronaturach,-0.000065,0.011228,-0.02207188,0.02194188
economiesuisse,ProNaturaSuisse,-0.000139,0.010226,-0.02018196,0.01990396
economiesuisse,PSSuisse,0.002037,0.009931,-0.01742776,0.02150176
economiesuisse,sbv,-0.000002,0.014222,-0.02787712,0.02787312
economiesuisse,spschweiz,-0.003561,0.005618,-0.01457228,0.00745028
economiesuisse,SVPch,0.072352,0.007641,0.05737564,0.08732836
economiesuisse,UDCch,-0.023099,0.016483,-0.05540568,0.00920768
economiesuisse,usp,-0.000037,0.027965,-0.0548484,0.0547744
economiesuisse,verkehrsclub,0.000501,0.004273,-0.00787408,0.00887608
economiesuisse,vertliberaux,-0.003759,0.006712,-0.01691452,0.00939652
gewerbeverband,const,0.01144,0.002649,0.00624796,0.01663204
gewerbeverband,economie_suisse,-0.011172,0.056486,-0.12188456,0.09954056
gewerbeverband,economiesuisse,-0.049709,0.082089,-0.21060344,0.11118544
gewerbeverband,gewerbeverband,0.107498,0.021681,0.06500324,0.14999276
gewerbeverband,GrueneCH,-0.003642,0.014372,-0.03181112,0.02452712
gewerbeverband,grunliberale,-0.00209,0.014706,-0.03091376,0.02673376
gewerbeverband,LesVertesSuisses,-0.016894,0.020653,-0.05737388,0.02358588
gewerbeverband,Mitte_Centre,0.026309,0.021443,-0.01571928,0.06833728
gewerbeverband,PLR_Suisse,0.017719,0.027185,-0.0355636,0.0710016
gewerbeverband,pronaturach,-0.005558,0.045868,-0.09545928,0.08434328
gewerbeverband,ProNaturaSuisse,-0.014472,0.041777,-0.09635492,0.06741092
gewerbeverband,PSSuisse,-0.020578,0.040572,-0.10009912,0.05894312
gewerbeverband,sbv,-0.007822,0.058101,-0.12169996,0.10605596
gewerbeverband,spschweiz,0.022374,0.022951,-0.02260996,0.06735796
gewerbeverband,SVPch,-0.022525,0.031216,-0.08370836,0.03865836
gewerbeverband,UDCch,-0.009838,0.067338,-0.14182048,0.12214448
gewerbeverband,usp,-0.01144,0.114247,-0.23536412,0.21248412
gewerbeverband,verkehrsclub,0.053872,0.017456,0.01965824,0.08808576
gewerbeverband,vertliberaux,-0.004052,0.02742,-0.0577952,0.0496912
GrueneCH,const,0.025805,0.004164,0.01764356,0.03396644
GrueneCH,economie_suisse,-0.04363,0.08877,-0.2176192,0.1303592
GrueneCH,economiesuisse,-0.078159,0.129005,-0.3310088,0.1746908
GrueneCH,gewerbeverband,0.128753,0.034073,0.06196992,0.19553608
GrueneCH,GrueneCH,0.067549,0.022586,0.02328044,0.11181756
GrueneCH,grunliberale,0.043255,0.023112,-0.00204452,0.08855452
GrueneCH,LesVertesSuisses,0.098448,0.032457,0.03483228,0.16206372
GrueneCH,Mitte_Centre,-0.016138,0.033698,-0.08218608,0.04991008
