lang,tweet_text,date,publisher
de,"The question arises as to what the traffic of goods, people, trucks, MIV is and the main reason is the massive increase in demand, see traffic perspectives ARE",2019-07-18 14:47:36+00:00,ASTAG_Schweiz
de,real relief the industry thanks,2019-07-18 14:51:56+00:00,ASTAG_Schweiz
de,"effective CH relocation policy could be a role model NRLA co-modality Unilateral coercive measures are the wrong way, especially because the necessary railway infrastructure on the Brenner Pass is still missingTyrol is threatening a long dispute over BrennerTransit",2019-07-19 08:19:49+00:00,ASTAG_Schweiz
de,FEDRO is striving to keep the disruptions caused by road works to a minimum this is getting better and better,2019-08-13 16:45:28+00:00,ASTAG_Schweiz
de,Mobility how do we ensure the flow of traffic on the main axes Our open session at the 1st National Mobility Conference also included AREmobil2019,2019-08-16 09:37:45+00:00,ASTAG_Schweiz
de,"are at the beginning of a multi-mobile era, but there are no miracle solutions, so more cooperation between all players is needed, says BR at AREmobil2019. They are happy to help",2019-08-26 08:05:01+00:00,ASTAG_Schweiz
de,something even sociological the presentation where remains the practical relevance,2019-08-26 08:45:42+00:00,ASTAG_Schweiz
de, the sociological trivialization expression probably politically correct,2019-08-26 08:46:44+00:00,ASTAG_Schweiz
de,"Session at the AREmobil2019 on CityLogistics Goods and commercial traffic is not popular, as the discussion shows. Most frequent demand for more bans, which must and wants to provide a lot of support and information",2019-08-26 09:28:13+00:00,ASTAG_Schweiz
de,"Thank you for your presentation at today's mobility conference AREmobil2019, which has long advocated co-modality and multi-modality. We will continue to be happy to help in a constructive dialogue",2019-08-26 09:45:43+00:00,ASTAG_Schweiz
de,"We have to make better use of the existing infrastructure, which means specifically combining the various modes of transport in a clever way",2019-08-26 09:47:49+00:00,ASTAG_Schweiz
de,"We miss statements on freight traffic, the paper was too much related to individual mobility, but yes, the theses are correct there",2019-08-26 09:56:39+00:00,ASTAG_Schweiz
de,which in turn pleases us Our transport companies have already made a huge contribution LSVA Fleet modernization Shift policy Efficiency Alternative drives,2019-08-26 10:04:18+00:00,ASTAG_Schweiz
